name,country,state,latitude,longitude,population
Andkhoy,Afghanistan,Faryab,36.95293,65.12376,37900
Asadābād,Afghanistan,Kunar,34.87311,71.14697,48400
Aībak,Afghanistan,Samangan,36.26468,68.01551,47823
Baghlān,Afghanistan,Baghlan,36.13068,68.70829,108449
Bagrām,Afghanistan,Parwan,34.96694,69.265,113173
Bahārak,Afghanistan,Badakhshan,37.00254,70.90664,32551
Balkh,Afghanistan,Balkh,36.75635,66.8972,114883
Baraki Barak,Afghanistan,Logar,33.96744,68.9492,22305
Bāmyān,Afghanistan,Bamyan,34.82156,67.82734,61863
Bāzār-e Yakāwlang,Afghanistan,Bamyan,34.73525,66.97379,65000
Bāzārak,Afghanistan,Panjshir,35.31292,69.51519,65000
Charikar,Afghanistan,Parwan,35.01361,69.17139,53676
Eslam Qaleh,Afghanistan,Herat,34.66667,61.06667,18086
Farah,Afghanistan,Farah,32.37451,62.11638,43561
Fayzabad,Afghanistan,Badakhshan,37.11664,70.58002,44421
Gardez,Afghanistan,Paktia,33.59744,69.22592,103601
Gereshk,Afghanistan,Helmand,31.82089,64.57005,43588
Ghazni,Afghanistan,Ghazni,33.55391,68.42096,141000
Ghormach,Afghanistan,Badghis,35.73062,63.78264,30000
Herāt,Afghanistan,Herat,34.34817,62.19967,574300
Istālif,Afghanistan,Kabul,34.83268,69.07756,41413
Jabal os Saraj,Afghanistan,Parwan,35.11833,69.23778,15032
Jalālābād,Afghanistan,Nangarhar,34.42647,70.45153,271900
Jurm,Afghanistan,Badakhshan,36.86477,70.83421,23064
Kabul,Afghanistan,Kabul,34.52813,69.17233,4434550
Kandahār,Afghanistan,Kandahar,31.61332,65.71013,523300
Karukh,Afghanistan,Herat,34.48108,62.5863,17484
Khanabad,Afghanistan,Kunduz,36.68304,69.11279,71531
Khulm,Afghanistan,Balkh,36.69736,67.69826,64933
Khān Neshīn,Afghanistan,Helmand,30.5488,63.7888,25600
Khāsh,Afghanistan,Nimroz,31.52919,62.79055,15133
Khōst,Afghanistan,Khowst,33.33951,69.92041,96123
Kunduz,Afghanistan,Kunduz,36.72895,68.857,161902
Kushk,Afghanistan,Herat,33.29565,61.95221,16952
Lashkar Gāh,Afghanistan,Helmand,31.59382,64.37161,43934
